"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 29 03:30:02 GMT 2022","Sat Jan 29 03:30:30 GMT 2022","27653","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00203","Basic booking online (2)",""
"failed","Sat Jan 29 03:32:57 GMT 2022","Sat Jan 29 03:33:27 GMT 2022","30192","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00401","Post and check review with a lot of characters",""
"passed","Sat Jan 29 03:35:06 GMT 2022","Sat Jan 29 03:35:24 GMT 2022","17824","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00601","Add master to favorite from search results",""
"failed","Sat Jan 29 03:48:15 GMT 2022","Sat Jan 29 03:48:55 GMT 2022","40099","","tests.regressionTests.ServicePublicationTests","","tests.regressionTests.ServicePublicationTests","t00300","Service publish: verify that with price range EUR currency stays the same",""
"passed","Sat Jan 29 03:59:21 GMT 2022","Sat Jan 29 04:00:16 GMT 2022","55351","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00103","Trying to register account with the same lowercase e-mail, but different formats: lowercase, mixed case, uppercase",""
"passed","Sat Jan 29 03:25:28 GMT 2022","Sat Jan 29 03:26:02 GMT 2022","34207","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00100","Basic positive service publishing, service location: Online",""
"failed","Sat Jan 29 03:32:07 GMT 2022","Sat Jan 29 03:32:30 GMT 2022","23582","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00305","Master side order cancel",""
"passed","Sat Jan 29 03:56:33 GMT 2022","Sat Jan 29 03:57:29 GMT 2022","55946","","tests.regressionTests.RegistrationTests","","tests.regressionTests.RegistrationTests","t00100","Email should not be case sensitive: register lowercase e-mail and try to log in with lower/upper/mixed case",""
"passed","Sat Jan 29 03:34:40 GMT 2022","Sat Jan 29 03:34:52 GMT 2022","12499","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00502","Conversation test: step 3 out of 3",""
"passed","Sat Jan 29 03:51:50 GMT 2022","Sat Jan 29 03:52:26 GMT 2022","36626","","tests.regressionTests.BookingTests","","tests.regressionTests.BookingTests","t00000","Booking: today's date",""
"passed","Sat Jan 29 03:29:33 GMT 2022","Sat Jan 29 03:30:02 GMT 2022","28709","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00202","Basic booking master's place",""
"passed","Sat Jan 29 03:34:10 GMT 2022","Sat Jan 29 03:34:26 GMT 2022","16034","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00500","Conversation test: step 1 out of 3",""
"failed","Sat Jan 29 04:05:33 GMT 2022","Sat Jan 29 04:06:17 GMT 2022","43425","","tests.ordersTests.OrderShareTests","","tests.ordersTests.OrderShareTests","t00004","Share order: client without login, client's place order",""
"passed","Sat Jan 29 03:39:40 GMT 2022","Sat Jan 29 03:40:24 GMT 2022","44104","","tests.professionalProfile.ProfessionalProfileTests","","tests.professionalProfile.ProfessionalProfileTests","t00004","Professional profile: main - change all the info and verify",""
"passed","Sat Jan 29 03:34:26 GMT 2022","Sat Jan 29 03:34:40 GMT 2022","13469","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00501","Conversation test: step 2 out of 3",""
"passed","Sat Jan 29 04:10:03 GMT 2022","Sat Jan 29 04:10:24 GMT 2022","20924","","tests.userProfile.UserProfileTests","","tests.userProfile.UserProfileTests","t00002","Profile: main - change all the info and verify",""
"passed","Sat Jan 29 03:31:11 GMT 2022","Sat Jan 29 03:31:24 GMT 2022","12884","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00301","Master completes order: online",""
"passed","Sat Jan 29 03:27:22 GMT 2022","Sat Jan 29 03:28:03 GMT 2022","40123","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00103","Basic positive service publishing with no account, service location: Online",""
"failed","Sat Jan 29 03:33:47 GMT 2022","Sat Jan 29 03:34:10 GMT 2022","23722","","tests.smokeTests.PositiveTests","","tests.smokeTests.PositiveTests","t00403","Review answer",""
